date,yield,c,n
04.08.04,688.76,290.7,17.9
04.08.04,358.44,158.1,0.8
14.07.05,779.59,332.9,15.7
15.07.05,149.68,68.6,0.9
15.07.07,541.11,228.3,
16.07.07,391.16,172.5,
16.07.08,297.61,177.1,10.1
21.07.09,597.87,263.7,
26.07.09,325.37,143.8,
19.07.10,80.43,35.2,3.2
02.08.11,680.68,270.7,13.6
03.08.11,347.95,153.4,0.8
09.07.12,769.08,319.2,12.1
10.07.12,187.58,77.5,1.1
28.07.13,353.98,203.5,11.1
24.07.14,626.82,277.1,11.3
26.07.14,391.16,177.4,0.8
04.07.15,715.21,314.0,12.2
06.07.15,139.53,61.8,0.7
25.07.16,7.62,3.2,0.3
19.07.17,583.61,247.2,12.3
29.07.17,371.60,158.7,
12.07.18,376.91,226.0,12.4
19.07.19,589.80,245.9,12.4
23.07.19,478.59,209.6,1.4
01.07.20,429.18,178.5,6.4
04.07.20,97.41,43.2,0.4
15.07.2023,90.32,41.5,2
,,,